url,image,YUV_values
https://i.pinimg.com/474x/1a/6e/65/1a6e659393546acdc7f8fe3f46adc8a5.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x1738 at 0x10CF72E80>,"(np.float64(196.11789628035606), np.float64(121.18048891767889), np.float64(136.24808686773312))"
https://i.pinimg.com/474x/1a/e2/78/1ae27851b24c1c72bcfb221865d95af6.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x474 at 0x10CF72DC0>,"(np.float64(137.56896451749594), np.float64(113.95713998974108), np.float64(146.69613060059322))"
https://i.pinimg.com/474x/19/e9/85/19e985926f973637f9f59ec916b04b54.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x710 at 0x10CF72FD0>,"(np.float64(73.91027763002671), np.float64(119.45936878764557), np.float64(142.51043452679875))"
https://i.pinimg.com/474x/19/79/be/1979be3e34ffa74a7e327569a216acb4.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x592 at 0x10CF72880>,"(np.float64(134.41050331970763), np.float64(110.96341372145818), np.float64(144.84284578951306))"
https://i.pinimg.com/474x/17/60/3c/17603c7b868e1c7fa0eb09d090b93f89.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=473x580 at 0x10CF72130>,"(np.float64(108.35247180444276), np.float64(109.73654377510626), np.float64(143.57512375425577))"
https://i.pinimg.com/474x/18/08/93/180893fa7eff42acf220e332489f3081.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x616 at 0x10CF72C10>,"(np.float64(74.73126942623428), np.float64(115.5995120095679), np.float64(140.9015246274104))"
https://i.pinimg.com/474x/19/d3/80/19d38069923707ba98c24bc87392d86a.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x478 at 0x10CF72F40>,"(np.float64(111.20587114329525), np.float64(107.49103906118434), np.float64(154.8593194650027))"
https://i.pinimg.com/474x/17/55/9c/17559cc5dcf6e45267cbdcc63f0511d0.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x711 at 0x10CF72310>,"(np.float64(229.46529699269394), np.float64(126.75093298863139), np.float64(129.70458884464287))"
https://i.pinimg.com/474x/17/08/9a/17089a7631cbcbb92e134444e961c62c.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x512 at 0x10CF72370>,"(np.float64(222.9149233374676), np.float64(126.7014632015724), np.float64(131.04237969071272))"
https://i.pinimg.com/474x/16/d7/42/16d742736a2ad1a1b0f8c80c84d17883.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=473x689 at 0x10CF722E0>,"(np.float64(182.1974101577388), np.float64(120.33439885906783), np.float64(136.96322399400026))"
https://i.pinimg.com/474x/16/03/78/1603787c100b53eb44e9d25ac0e81416.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x592 at 0x10CF8C340>,"(np.float64(97.89330440749688), np.float64(117.41230753834937), np.float64(139.88179959684913))"
https://i.pinimg.com/474x/16/11/e2/1611e2a92855e4da4c8ed014c4df4c2b.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x632 at 0x10CF8CF70>,"(np.float64(142.312262147979), np.float64(123.15467892480872), np.float64(135.36460628396694))"
https://i.pinimg.com/474x/91/7c/c9/917cc97e1b91c14e51314f56c07b8101.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=473x726 at 0x10CF8C5B0>,"(np.float64(199.9626031601815), np.float64(117.70096797302256), np.float64(139.35269570585734))"
https://i.pinimg.com/474x/15/b0/12/15b012e9a92e4948ca22ca3f2c1ede74.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x609 at 0x10CF8C130>,"(np.float64(112.49669585587209), np.float64(114.99069225891184), np.float64(145.5429504083832))"
https://i.pinimg.com/474x/16/b4/a2/16b4a2341eeb86bb64eb9c17c664764c.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x592 at 0x10CF8CF10>,"(np.float64(116.9857017612636), np.float64(117.85012152790152), np.float64(140.45702331482497))"
https://i.pinimg.com/474x/15/cf/7f/15cf7f009f112051adc16057c48d1933.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=473x426 at 0x10CF8CCA0>,"(np.float64(175.10638753165233), np.float64(121.92375415874828), np.float64(136.37700549744488))"
https://i.pinimg.com/474x/15/3c/20/153c20d7f007d5847c40c7eb31b39046.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x842 at 0x10CF8C5E0>,"(np.float64(65.73736736709071), np.float64(124.88514235031923), np.float64(131.88971273652817))"
https://i.pinimg.com/474x/14/37/df/1437df4e7d70515267ff9889fa2eff4c.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x842 at 0x10CF8CDC0>,"(np.float64(93.37480110155285), np.float64(123.20270727410775), np.float64(136.54761158985949))"
https://i.pinimg.com/474x/14/0e/3d/140e3d649d47e069743b65a6d44ef374.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=295x698 at 0x10CF8C700>,"(np.float64(187.4867756473765), np.float64(118.27154845853488), np.float64(138.39621578569069))"
https://i.pinimg.com/474x/15/1b/65/151b651ceb88ca247b4d931c6bd743c8.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x592 at 0x10CF8C3A0>,"(np.float64(73.85773528929333), np.float64(115.71682914827308), np.float64(142.88046369659324))"
https://i.pinimg.com/474x/15/cd/bb/15cdbb7017789894cbd0469d4d5ea532.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x592 at 0x10CF8C550>,"(np.float64(154.88885832776685), np.float64(119.69231895809594), np.float64(143.96370410324738))"
https://i.pinimg.com/474x/86/15/73/861573f203147c177c6a3d9e88b391c2.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x592 at 0x10CF8C6A0>,"(np.float64(104.95621912887292), np.float64(108.90584885353633), np.float64(157.90697500374196))"
https://i.pinimg.com/474x/11/dd/86/11dd8649747f340eef3a968bebd82e24.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x592 at 0x10CF8C190>,"(np.float64(161.13456494469153), np.float64(116.60805821644429), np.float64(140.34857167293876))"
https://i.pinimg.com/474x/11/63/cd/1163cd5836d46c09e63c34c0d9d2cb43.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x454 at 0x10CF8C670>,"(np.float64(155.94725273703972), np.float64(119.65765162921244), np.float64(138.65309764122009))"
https://i.pinimg.com/474x/13/fa/c2/13fac29f1d2b22ad704a0f39c208bba2.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=473x568 at 0x10CF8CAF0>,"(np.float64(131.79708887854815), np.float64(113.44590041879944), np.float64(140.9262205677059))"
https://i.pinimg.com/474x/13/84/dd/1384dd389865cd05219df1aa480a4579.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x711 at 0x10CF8C160>,"(np.float64(132.72443332710208), np.float64(114.14395079092374), np.float64(140.54902955689874))"
https://i.pinimg.com/474x/0e/44/e1/0e44e1e9b86116438d90d65f71883534.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x591 at 0x10CF8CFA0>,"(np.float64(211.64846035948167), np.float64(122.19301686655734), np.float64(132.7290632826372))"
